job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Workday Solution Architect,AirAsia,3.7,(140 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"As Workday Analyst, your role is to collect business requirement related to PAC (People...","Business process
Data analysis
Change management
Operational excellence
Performance management
Consulting
LAN
Workflow",30+ DAYS AGO
Manager - Health & Safety,Adidas,4.3,(297 Reviews),5-10 Yrs,Not disclosed,Gurgaon/Gurugram,"Bachelor s degree in Occupational Safety, Industrial Engineering, Environmental Managem...","Environment management
Crisis management
Root cause analysis
Data analysis
ISO
Customer satisfaction
Risk assessment
Standard operating procedures",30+ DAYS AGO
SFMC Developer ZBX,CompuCom,4,(260 Reviews),5-7 Yrs,Not disclosed,Pune,What We Need What You'll Do (Responsibilities) MUST HAVE: 5+ years experience in Salesf...,"SFMC
Adobe
REST
SQL
Salesforce Marketing Cloud
Agile Scrum
JSON
Data Extensions",30+ DAYS AGO
Sr. Taxonomy - Ecommerce,CODIFYD PRIVATE LIMITED,3.8,(4 Reviews),2-6 Yrs,"3,00,000 - 8,00,000 PA.","Mysore/Mysuru, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Data normalization of SKU data and metadata, per client specificationsA candidate demon...","Taxonomy
sku built
Normalization
Data Validation
sku build
schema
Product Management
Product Research",27 DAYS AGO
Freshers (Support),Star Knowledge,2.6,(5 Reviews),0-1 Yrs,Not disclosed,Mysore,Education: Should have done any bachelor s degree and should be open on the CTC Experie...,"Sales
Excel
Data collection
Data Analyst
Recruitment",30+ DAYS AGO
Freshers (Support),Star Knowledge Ventures LLP,2.6,(5 Reviews),0-1 Yrs,Not disclosed,Mysore,Should have scored Decent Marks (60%) in the Graduation or Post GraduationFresher to 6 ...,"BPO
travel
Sales
Excel
Data collection
Data Analyst
Recruitment",30+ DAYS AGO
Senior Manager Content,Educational Initiatives,4.2,(92 Reviews),3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Assessing areas of training for the team and developing training modules to train peopl...,"IT Skills
Testing
Training
Data analysis
Content Manager
Team management
management
Research",30+ DAYS AGO
Sr HR Specialist,Donaldson,3.5,(5 Reviews),5-8 Yrs,Not disclosed,Gurgaon/Gurugram,Knowledge of Job evaluation and analysis systems preferred May also be required to rese...,"Job analysis
Payroll
Data analysis
Staffing
HRIS
MIS
Analytical
Consulting",30+ DAYS AGO
Junior Graphic Designer,L.E.K. Consulting,3.5,(7 Reviews),1-6 Yrs,Not disclosed,Mumbai,Position Overview: To produce high-quality design deliverables including PowerPoint pre...,"Graphics
Design
Communication Skills
Social Media
Junior Graphic Designer
Management Consulting
Data Analysis
Digital Marketing",30+ DAYS AGO
Embedded Software Engineer - BMS,TVS Motor,4.1,(2911 Reviews),2-5 Yrs,Not disclosed,Hosur,Atleast 5 year(s) of working experience in the related field is required for this posit...,"Data analysis
Scalability
Management systems
Middle level management
functional safety
Embedded software
Testing",30+ DAYS AGO
Software Developer,SSP,4,(51 Reviews),1-5 Yrs,Not disclosed,Gurgaon,"Job Details Software Developer Gurgaon, Haryana Salary: Dependent on Experience + Exten...","Printing
Performance tuning
Application support
Data analysis
Publishing
Coding
Agile
Data structures",30+ DAYS AGO
Assistant Manager,KITEX GARMENTS LIMITED,3.7,(104 Reviews),2-7 Yrs,Not disclosed,Kochi,Monitoring the work of Executives and Senior Executives. Managing sourcing activities a...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Legal
Intellectual Property
Vendor Management",30+ DAYS AGO
Assistant Manager (Fire Service),irb infrastructure developers ltd,4.2,(322 Reviews),5-10 Yrs,Not disclosed,"Mumbai, mumbai",Graduate Physical standard: Height - Not less than 5 feet 6 inches. Chest; Normal 80Cms...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Asset Management
Intellectual Property",30+ DAYS AGO
Robotics Engineer,Automotive Robotics India Pvt. Ltd.,3.9,(82 Reviews),3-5 Yrs,Not disclosed,Chennai,Required skills,"Report generation
Data analysis
Simulation
data visualization
Robotics
Engineering Analyst
Testing",30+ DAYS AGO
Devops Engineer - AWS,Burgeon IT Services Pvt ltd,3.6,(11 Reviews),4-9 Yrs,Not disclosed,Pune,"Detailed Job Description : Technical Skills DevOps Tools Kubernetes, Jenkins, Git, Dock...","IT services
Maven
Data analysis
GIT
Configuration management
devops
MySQL
Cloud",30+ DAYS AGO
NielsenIQ Senior Executive (Qualitative Research),NielsenIQ,4.2,(96 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"media, telecom technology, energy, etc.)Has experience of developing and managing clien...","IT Skills
Project Management
BPO
project management
client management
troubleshooting
Telecom
Data analysis",30+ DAYS AGO
Tableau Developer,Sahasya Global Solutions,2.8,(8 Reviews),6-8 Yrs,Not disclosed,Hyderabad,Good analytical and problem solving skills Very good communication and Business Acumen ...,"IT services
rest
Data analysis
development
consulting
System programming
it
User acceptance testing",30+ DAYS AGO
Service Manager,Shell,4.3,(1011 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in working in a global virtual team environment in a multinational Enterpris...,"SAP Cloud
Operational Excellence
Service Operations Management
Excel
Business Modeling
Data Analysis
Reporting Tools
Risk Management",23 DAYS AGO
Product Designer,Evolent Health,4.5,(92 Reviews),3-8 Yrs,Not disclosed,Pune,"What You’ll Be Doing:As a Product Designer, you will support the growing needs of our p...","HTML
IT Skills
Testing
Cloud
CSS
Dashboard presentations
Lean UX
Design Patterns",24 DAYS AGO
Staff Software Engineer - Full Stack - SRE - IN5,Walmart,4.2,(10520 Reviews),3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelors Degree or Master s Degree with 10 years of experience in Computer Science or ...,"IT Skills
Testing
Project Management
Javascript
Jenkins
AWS
Azure
Unix",24 DAYS AGO
"Data warehousing & BI Analytics, Senior Manager",StateStreet Global Advisor Pvt Ltd,3.8,(126 Reviews),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Good exposure to AWS Data storage products like AWS S3 and AWS Redshift10 + years of ov...,"Computer science
Performance tuning
Data analysis
GIT
Incident management
Data quality
Informatica
Analytics",24 DAYS AGO
Senior/Lead Engineer - Embedded software testing,"Qualcomm Technologies, Inc",4.2,(340 Reviews),2-9 Yrs,Not disclosed,Bangalore/Bengaluru,Responsibilities Test Engineer will be responsible for developing SW test drivers and/o...,"Wireless
Computer science
Interpersonal skills
C++
Data analysis
Project management
Analytical
SOC",24 DAYS AGO
"Ops Specialist, Risk Mgmt (Operations)",Morgan Stanley,4,(443 Reviews),4-7 Yrs,Not disclosed,Mumbai,"Bachelor degree in business, finance, other related fields Prior experience in operatio...","Operations management
Data analysis
operational support
Wealth management
Operational risk
Project management
Business planning
operational risk management",24 DAYS AGO
SEO Executive,Sourcedesk Global Private Limited,4.4,(40 Reviews),1-6 Yrs,Not disclosed,Kolkata,Should be able to handle WordPress and Shopify CMS Experience in handling foreign proje...,"Content strategy
Data analysis
Google Analytics
Online marketing
Wordpress
CMS
SEM
Content writing",24 DAYS AGO
Senior Associate,PwC,3.8,(3213 Reviews),8-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Good interpersonal, verbal and written communication skills when dealing with customers...","Data analysis
Automation
Access management
Analytical
Consulting
power bi
Oracle
Information technology",24 DAYS AGO
Senior Associate 2,PwC,3.8,(3213 Reviews),8-12 Yrs,Not disclosed,Hyderabad/Secunderabad,"Good interpersonal, verbal and written communication skills when dealing with customers...","Data analysis
Automation
Access management
Analytical
Consulting
power bi
Oracle
Information technology",24 DAYS AGO
Senior Associate,PwC,3.8,(3213 Reviews),1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Senior Associate, youll work as part of a team of problem solvers, helping to solv...","Business process
Manager Internal Audit
ERP
Data analysis
Leadership development
Financial risk
Cloud
Risk management",24 DAYS AGO
Principal PM Manager,Microsoft,4.3,(669 Reviews),12-16 Yrs,Not disclosed,Hyderabad/Secunderabad,"Bachelor s degree in Computer Science, related discipline or equivalent experience Mana...","Forecasting
Capacity Management
product management
Analytics
Computer science
Data analysis
Technical leadership
microsoft",24 DAYS AGO
Principal PM Manager,Microsoft,4.3,(669 Reviews),12-16 Yrs,Not disclosed,Hyderabad/Secunderabad,"Bachelor s degree in Computer Science, related discipline or equivalent experience Mana...","Forecasting
Capacity Management
product management
Analytics
Computer science
Data analysis
Technical leadership
microsoft",24 DAYS AGO
Senior Software Engineer Manager,Microsoft,4.3,(669 Reviews),8-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Responsibilities Are you interested in working for one of the most exciting products in...,"Computer science
Cloud computing
Data analysis
Field marketing
GCP
Focus
Infrastructure
microsoft",24 DAYS AGO
Software Engineer,Microsoft,4.3,(669 Reviews),2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Automation of Data Integration Pipelines and Orchestration in streaming and batch modes...,"Azure Big Data
data analysis
Apache Spark
Kusto
analytical
Cosmos
Data Lake
Azure Automation",24 DAYS AGO
HW Methods and Tools Technical Leader,Aptiv Technical Centre,4.2,(248 Reviews),4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Develop new Dashboards for KPI monitoring as required,"Automation
Data analysis
Agile
Scheduling
Medical insurance
DBMS
Business intelligence
JIRA",24 DAYS AGO
Product Manager,Whatfix,4.6,(17 Reviews),2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Must have 2-3 years experience as an APM / PM for B2B / Enterprise market Proven experi...,"Analytical
data analysis
Data Mining
lean methodology
APM
written
verbal communication
agile iterative",24 DAYS AGO
"Associate, Soft Bus Sys",Northern Trust Corp.,4.1,(845 Reviews),1-3 Yrs,Not disclosed,Pune,Responsibilities: Primary responsibility is to work closely with operations team as wel...,"Data analysis
Change management
Process optimization
Conflict management
Process improvement
Process re-engineering
data visualization
Black Belt",24 DAYS AGO
Manager-Strategic Projects (Location : Bangalore),Freshtohome Foods Private Limited,5,(2 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Knowledge of data profiling and proven experience in data mining, collation and dashboa...","Project Management
Data Analysis
Advanced Excel
Dashboards",24 DAYS AGO
Data Analyst,J RAY MCDERMOTT ENGINEERING SERVICES PVT LTD,4.2,(340 Reviews),3-5 Yrs,Not disclosed,Chennai,Advanced Excel skills with experience in using Excel Power Query Editor,"data analysis
advance excel",24 DAYS AGO
Senior Software Engineer,Eurofins It Solutions,3.4,(130 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"The Role Requirement is for a Senior Pyramid Analytics Developer, with strong technical...","Performance tuning
Data analysis
RDBMS
Application development
Stored procedures
Oracle
Business intelligence
Project delivery",30+ DAYS AGO
PPC Executive,Oxedent Technologies,3.5,(2 Reviews),1-2 Yrs,Not disclosed,Kolkata,We are looking for the perfect candidate to manage and develop the company s pay per cl...,"Data analysis
Google Analytics
Online marketing
Analytical
Social media
Google AdWords
SEM
microsoft",30+ DAYS AGO
Staff Nurses(CVTS OT),JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),1-3 Yrs,Not disclosed,Thrissur,"BSc / GNM with minimum one year experience, post Kerala Registration. Age below 35 years.","Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Staff Nurses(CVTS ICU),JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),1-3 Yrs,Not disclosed,Thrissur,"BSc / GNM with minimum one year experience, post Kerala Registration. Age below 35 years.","Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Pharmacy Purchase Coordinator,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,M-Pharm with experience in Purchase for large Pharmacies preferably at Hospitals,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Psychiatric Social Worker,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,M Phil (Psychiatry) & MSW (Med. & Psy.) or M A Sociology,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Pharmacy Purchase Coordinator,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,M-Pharm with experience in Purchase for large Pharmacies preferably at Hospitals,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Psychiatric Social Worker,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,M Phil (Psychiatry) & MSW (Med. & Psy.) or M A Sociology,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Associate Professor Psychiatry,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,Auxiliary Services Manager,"Customer Service
data analysis
Help Desk Telephony support
facultyAssociate Professor
customer relationship
access controls
nurses
Psychiatry",30+ DAYS AGO
Dietitian,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),1-3 Yrs,Not disclosed,Thrissur,MSc Food Science & Nutrition with minimum 1yr experience,"Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
Dietitian
nurses
faculty",30+ DAYS AGO
Patient Welfare Coordinators,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,MHA/MSW,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Bio Medical Engineer-Trainee,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,B Tech. in Biomedical,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
University Coordinator,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,Post Graduates,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Infection Control Nurse,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,MSc Nursing with preferably with 2 yr similar experience,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Students Coordinator,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,Post Graduates,"Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
Students Coordinator
nurses
faculty",30+ DAYS AGO
Anesthesia Technician,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,Degree/Diploma,"Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
Anesthesia Technician
nurses
faculty",30+ DAYS AGO
Maintenance Head,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),10-13 Yrs,Not disclosed,Thrissur,B Tech Electrical with 10 years minimum experience in general maintenance preferably at...,"Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
Maintenance Head
nurses
faculty",30+ DAYS AGO
GM Operations,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),10-13 Yrs,Not disclosed,Thrissur,MBA with minimum 10 years experience in operations; Hospital Administration experience ...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Pharmacist,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,"B.Pharm, D.Pharm, Pharm. Asst. Course","Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Hospital Auditor,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,Nursing Degree + MHA preferably with similar experience,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Medical Records Technician,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,DMRT (cmai) / BMRHIT (Ignou),"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information
nurses",30+ DAYS AGO
Staff Nurses (CATHLAB),JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,"BSc / GNM with minimum one year experience, post Kerala Registration. Age below 35 years.","Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
CATHLAB
nurses
facultyStaff Nurses",30+ DAYS AGO
Junior Resident,JUBILEE MISSION MEDICAL COLLEGE & RESEARCH INSTITUTE,4.3,(20 Reviews),2-5 Yrs,Not disclosed,Thrissur,MBBS with TCMC registration,"Customer Service
data analysis
Help Desk Telephony support
customer relationship
access controls
nurses
faculty
Junior Resident",30+ DAYS AGO
Data Operator,DPS Gandhinagar,3.9,(1332 Reviews),2-4 Yrs,Not disclosed,Gandhinagar,Must possess a degree / diploma in their respective field from a recognized institution,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
Assistant Manager-Internship & Placement,Nirma University,3.8,(28 Reviews),4-6 Yrs,Not disclosed,Ahmedabad,Job Description: ? Must possess a degree / diplomain their respective field from a reco...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Intellectual Property
Vendor Management
Information",30+ DAYS AGO
Manager-Corporate Relations,Nirma University,3.8,(28 Reviews),5-10 Yrs,Not disclosed,Ahmedabad,Job Description: ? Must possess a degree / diplomain their respective field from a reco...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Intellectual Property
Vendor Management
Information",30+ DAYS AGO
Sr. Manager-Corporate Relations,Nirma University,3.8,(28 Reviews),6-10 Yrs,Not disclosed,Ahmedabad,Job Description: ? Must possess a degree / diplomain their respective field from a reco...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Intellectual Property
Vendor Management
Information",30+ DAYS AGO
Office Superintendent,Nirma University,3.8,(28 Reviews),2-4 Yrs,Not disclosed,Ahmedabad,Job Description: ? Must possess a degree / diplomain their respective field from a reco...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Intellectual Property
Vendor Management
Information",30+ DAYS AGO
Application Developer: Microsoft Analytics,IBM,4.2,(13370 Reviews),5-8 Yrs,Not disclosed,Kolkata,Proficient in designing and developing business intelligence / data warehousing / repor...,"Data analysis
MS SQL
jQuery
SSRS
Workflow
microsoft
Business intelligence
SSIS",30+ DAYS AGO
Data Engineering Application Developer,Accenture,4.1,(26627 Reviews),4-6 Yrs,Not disclosed,Pune,Educational Qualification : 15 years of full time education Work Experience : 4-6 years...,"Business process
Data analysis
PAAS
Consulting
SCALA
Data quality
Oracle
Operations",30+ DAYS AGO
MicroStrategy Business Intelligence(BI) Application Developer,Accenture,4.1,(26627 Reviews),4-6 Yrs,Not disclosed,Pune,Educational Qualification : 1: Minimum 15 Years of continuous experience from reputed u...,"Agile
Microstrategy
Data analysis
PowerBI
Tableau
data modelling
Communication
Git",30+ DAYS AGO
IBM Mobile Technical Solution Architect,Anicalls,4.7,(2 Reviews),6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Documentation, Engineering, English, Estimating, Facets, Framework, Git, GitHub, Good C...","Data analysis
Business analysis
Technical writing
Project management
Agile
MVC
Unit testing
Analytics",30+ DAYS AGO
SQL Developer,TeamPlus Staffing Solution Pvt Ltd,5,(2 Reviews),3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Requirements and Qualifications: - 3-5 years of experience as a SQL Developer or simila...,"Computer science
SQL queries
Data analysis
MySQL
Programming
Oracle
Management reporting
SQL",30+ DAYS AGO
SME Success Lead - PMO,Wadhwani Foundation,3.4,(16 Reviews),8-10 Yrs,Not disclosed,"Noida, Mumbai, New Delhi","This role is responsible to drive implementation individually and through the team, the...","Data analysis
Change management
PMP
Head Business Development
Consulting
Entrepreneur
Management
Stakeholder management",30+ DAYS AGO
Lead Consultant - Diagnostic and Insights,Wadhwani Foundation,3.4,(16 Reviews),8-10 Yrs,Not disclosed,"Noida, Mumbai, New Delhi","Experience in Strategic skills from a top tier management consulting firm such as McK, ...","Supply chain
SAN
Data analysis
Head Business Development
Diagnostics
Management consulting
Entrepreneur
Stakeholder management",30+ DAYS AGO
Senior Engineer -Software Automation Testing,Signify,4,(381 Reviews),3-8 Yrs,Not disclosed,Pune,"year experience working into testing IoT and Embedded applications consisting of Web, M...","Procurement
Automation
Data analysis
Postgresql
Ethernet
SQLite
Selenium
JIRA",30+ DAYS AGO
Junior Program Associate,World Resources Institute (WRI),3.6,(6 Reviews),1-5 Yrs,Not disclosed,Mumbai,Post-graduation in Urban Design and graduation in Architecture from a recognized univer...,"GIS
Data analysis
AutoCAD
adobe creative suite
Analytical
Equity
Data collection
Healthcare",30+ DAYS AGO
Senior Manager-Batch Delivery,TransUnion,4.5,(89 Reviews),8-10 Yrs,Not disclosed,Mumbai,"Set up (configure), test and deliver batch solution requests (for new solutions as well...","IT Skills
Big Data
Data analysis
Process analysis
Sales
Employee management
Consulting
Commercial banking",30+ DAYS AGO
Senior Engineer NEO CIAM,TransUnion,4.5,(89 Reviews),2-10 Yrs,Not disclosed,Chennai,"3+ years experience with Ping identity, Ping directory2+ years of experience with Micro...","Business process
Automation
Data analysis
LDAP
Access management
Network engineering
Agile
SAML",30+ DAYS AGO
Executive - Credit Operations,Bajaj Finserv,4.2,(11874 Reviews),1-4 Yrs,Not disclosed,Jodhpur,Graduate 1-4 years of relevant experience in Gold loan IndustryGood interpersonal skills,"Training
Data analysis
Interpersonal skills
Credit operations
Executive
Sales
Gold loan
Marketing Executive",30+ DAYS AGO
Assistant Manager - Rural Term Loan,Bajaj Finserv,4.2,(11874 Reviews),1-2 Yrs,Not disclosed,Nahan,Should have 1-2 year of Outbound Sales team management experience Prior experience in a...,"Data analysis
Interpersonal skills
Team management
Excel
Outbound sales
Telecalling
Salesforce.com
Retail lending",30+ DAYS AGO
Data Analyst - Global Market Regulatory IT,BNP Paribas,3.9,(1438 Reviews),2-5 Yrs,Not disclosed,Mumbai,"Whilst able to work independently, should be a true team playerMust be able to work clo...","Wealth management
Coding
Business analysis
Project management
Analytical
Manager Quality Control
Troubleshooting
Oracle",30+ DAYS AGO
Lead - Research,Sutherland Global Services Inc,3.8,(4507 Reviews),1-6 Yrs,Not disclosed,Mumbai,"Be the expert: Chart out the project plan factoring in resource availability, timelines...","analytical
Data analysis
Talent acquisition
Credit Research Analyst
Finance
Financial planning
Banking
Research",30+ DAYS AGO
Assistant Manager - Rural Term Loan,Bajaj Finserv,4.2,(11874 Reviews),1-2 Yrs,Not disclosed,Nahan,Should have 1-2 year of Outbound Sales team management experience Prior experience in a...,"Data analysis
Interpersonal skills
Team management
Excel
Outbound sales
Telecalling
Salesforce.com
Retail lending",30+ DAYS AGO
Data Analyst - Global Market Regulatory IT,BNP Paribas,3.9,(1438 Reviews),2-5 Yrs,Not disclosed,Mumbai,"Whilst able to work independently, should be a true team playerMust be able to work clo...","Wealth management
Coding
Business analysis
Project management
Analytical
Manager Quality Control
Troubleshooting
Oracle",30+ DAYS AGO
Lead - Research,Sutherland Global Services Inc,3.8,(4507 Reviews),1-6 Yrs,Not disclosed,Mumbai,"Be the expert: Chart out the project plan factoring in resource availability, timelines...","analytical
Data analysis
Talent acquisition
Credit Research Analyst
Finance
Financial planning
Banking
Research",30+ DAYS AGO
Enterprise Strategic Sourcing,Xpheno,3.2,(30 Reviews),3-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Excellent analytical skills - must have worked with large data, reports, dashboards and...","Procurement
Supply chain
Analytical skills
Business administration
Global sourcing
advanced analytics
Data analysis
Strategic sourcing",30+ DAYS AGO
Junior Program Associate - Road Safety & Urban Transport,WRI INDIA,4.7,(2 Reviews),1-4 Yrs,Not disclosed,Mumbai,Post-graduation in Urban Design and graduation in Architecture from a recognized univer...,"GIS
Data analysis
AutoCAD
adobe creative suite
Analytical
Equity
Data collection
Healthcare",30+ DAYS AGO
QA Engineer,NeST Digital,3.6,(6 Reviews),5-10 Yrs,Not disclosed,Kochi/Cochin,"Certification like CSQA, CQSPE, SixSigma, ISTQB, 9001 / 27001 Lead Auditor Certificatio...","Agile methodologies
analytical
Communication
Computer science
Root cause analysis
Lead Auditor
Data analysis
Minitab",30+ DAYS AGO
Sr Manager Inventory (AIM),Michelin,3.9,(395 Reviews),3-7 Yrs,Not disclosed,Pune,KEY EXPECTED ACHIEVEMENTS Define for each inventory component operational inventory lev...,"Supply chain
Data analysis
Service level
Action plan
Demand forecasting
Consulting
Inventory management
Supply planning",30+ DAYS AGO
Pricing Analyst,Clarivate,4.1,(166 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree mandatory, MBA preferred Good analytical, verbal and written communica...","Data analysis
SAP
Sales
Excel
Software development
Analytical
Salesforce.com
Pricing Analyst",30+ DAYS AGO
Security Engineering & Operations,FAMILY HEALTH PLAN INSURANCE TPA LTD,4.2,(190 Reviews),3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"Roles and Responsibilities Identity and Access Management - Non privilege Designing, Co...","security engineering
security audit
IT Skills
Python
Testing
HTML
Javascript
Azure",22 DAYS AGO
"Manager , Product Consultant",6Sense,5,(47 Reviews),3-8 Yrs,Not disclosed,Remote,"Typically, a Manager, Product Consulting will hold an appropriate bachelor s degree alo...","IT Skills
Product Management
Program Management
SugarCRM
Data analysis
Performance management
Staffing
Consulting",30+ DAYS AGO
Data Processing Agreement,Diverse Lynx,2.9,(63 Reviews),2-3 Yrs,Not disclosed,Bengaluru,"Job Description "" Have very good experience in Power BI scripting, data modeling and vi...","data load Manager
Power BI Modeling
Power BI
Power BI scripting
data analysis
data warehouse
data modeling
IT Skills",30+ DAYS AGO
QC - In-charge,3A Chemie Pvt Ltd,3.5,(12 Reviews),2-7 Yrs,Not disclosed,Nagpur,QC - In-charge 2-7 Year BSc/MSc. in organic chemistry View Details,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
Plant Operators,3A Chemie Pvt Ltd,3.5,(12 Reviews),1-6 Yrs,Not disclosed,Nagpur,Plant Operators 1-6 year BSc / Diploma / ITI (industrial training institute) in Chemica...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
Team Leaders Operations,Money Multiplier,4.5,(7 Reviews),3-6 Yrs,Not disclosed,Delhi,Team Leaders Operations,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
QC- Chemist,3A Chemie Pvt Ltd,3.5,(12 Reviews),1-5 Yrs,Not disclosed,Nagpur,QC- Chemist 1-5 year BSc/MSc. in organic chemistry View Details,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
